Time;Temperatura
08/12/2024 06:30;34.8 °C
08/12/2024 06:45;35.1 °C
08/12/2024 07:00;35.2 °C
08/12/2024 07:15;35.7 °C
08/12/2024 07:30;35.5 °C
08/12/2024 07:45;35.3 °C
08/12/2024 08:00;34.4 °C
08/12/2024 08:15;34.2 °C
08/12/2024 08:30;34.0 °C
08/12/2024 08:45;34.1 °C
08/12/2024 09:00;34.1 °C
08/12/2024 09:15;34.9 °C
08/12/2024 09:30;35.7 °C
08/12/2024 09:45;36.3 °C
08/12/2024 10:00;36.3 °C
08/12/2024 10:15;32.4 °C
08/12/2024 10:30;32.8 °C
08/12/2024 10:45;31.8 °C
08/12/2024 11:00;32.2 °C
08/12/2024 11:15;33.2 °C
08/12/2024 11:30;32.5 °C
08/12/2024 11:45;32.5 °C
08/12/2024 12:00;33.0 °C
08/12/2024 12:15;33.6 °C
08/12/2024 12:30;33.1 °C
08/12/2024 12:45;32.4 °C
08/12/2024 13:00;32.4 °C
08/12/2024 13:15;32.2 °C
08/12/2024 13:30;31.9 °C
08/12/2024 13:45;31.5 °C
08/12/2024 14:00;31.6 °C
08/12/2024 14:15;32.1 °C
08/12/2024 14:30;33.0 °C
08/12/2024 14:45;32.4 °C
08/12/2024 15:00;31.6 °C
08/12/2024 15:15;32.1 °C
08/12/2024 15:30;33.1 °C
08/12/2024 15:45;33.4 °C
08/12/2024 16:00;34.9 °C
08/12/2024 16:15;34.2 °C
08/12/2024 16:30;33.8 °C
08/12/2024 16:45;33.3 °C
08/12/2024 17:00;33.1 °C
08/12/2024 17:15;33.1 °C
08/12/2024 17:30;33.3 °C
08/12/2024 17:45;32.4 °C
08/12/2024 18:00;32.0 °C
08/12/2024 18:15;31.8 °C
08/12/2024 18:30;32.8 °C
08/12/2024 18:45;34.7 °C
08/12/2024 19:00;37.0 °C
08/12/2024 19:15;36.4 °C
08/12/2024 19:30;34.2 °C
08/12/2024 19:45;34.1 °C
08/12/2024 20:00;34.5 °C
08/12/2024 20:15;38.4 °C
08/12/2024 20:30;43.1 °C
08/12/2024 20:45;44.7 °C
08/12/2024 21:00;42.9 °C
08/12/2024 21:15;40.5 °C
08/12/2024 21:30;39.5 °C
08/12/2024 21:45;38.9 °C
08/12/2024 22:00;36.6 °C
08/12/2024 22:15;34.2 °C
08/12/2024 22:30;33.2 °C
08/12/2024 22:45;32.3 °C
08/12/2024 23:00;32.2 °C
08/12/2024 23:15;33.7 °C
08/12/2024 23:30;33.2 °C
08/12/2024 23:45;32.4 °C
